CustomerID,CustomerName,CustomerSegment,JoinDate,Email
C001,Иванов А.,VIP,15.03.2022,ivanov@mail.com
C002,Петрова С.,Стандарт,22.05.2022,petrova@mail.com
C003,Сидоров В.,Новый,10.01.2023,sidorov@mail.com
C004,Козлова Е.,VIP,05.11.2021,kozlova@mail.com
C005,Морозов Д.,Стандарт,18.07.2022,morozov@mail.com
C006,Новикова А.,VIP,30.09.2022,novikova@mail.com
C007,Лебедев И.,Новый,12.02.2023,lebedev@mail.com
C008,Смирнова О.,Стандарт,25.04.2022,smirnova@mail.com
C009,Васильев П.,VIP,08.12.2021,vasilev@mail.com
C010,Иванова Т.,Стандарт,14.06.2022,ivanova@mail.com
C011,Кузнецов М.,Новый,20.03.2023,kuznetsov@mail.com
C012,Попова Л.,Стандарт,03.08.2022,popova@mail.com
C013,Соколов Н.,VIP,11.10.2021,sokolov@mail.com
C014,Федорова К.,Стандарт,27.05.2022,fedorova@mail.com
C015,Никитин Д.,Новый,05.01.2023,nikitin@mail.com
C016,Павлова М.,VIP,19.09.2022,pavlova@mail.com
C017,Громов А.,Стандарт,22.07.2022,gromov@mail.com
C018,Тихонова В.,Новый,15.02.2023,tikhonova@mail.com
C019,Белов С.,VIP,07.11.2021,belov@mail.com
C020,Крылова Е.,Стандарт,30.06.2022,krylova@mail.com
C021,Максимов П.,Новый,10.03.2023,maximov@mail.com
C022,Орлова А.,VIP,12.12.2021,orlova@mail.com
C023,Егоров И.,Стандарт,25.08.2022,egorov@mail.com
C024,Зайцева О.,Новый,18.01.2023,zaitseva@mail.com
C025,Воронов Д.,VIP,09.10.2022,voronov@mail.com
C026,Антонова Н.,Стандарт,21.07.2022,antonova@mail.com
C027,Гусев М.,Новый,05.02.2023,gusev@mail.com
C028,Сорокина Л.,VIP,14.11.2021,sorokina@mail.com
C029,Тарасов В.,Стандарт,28.09.2022,tarasov@mail.com
C030,Михайлова Е.,Новый,20.04.2023,mikhailova@mail.com
